Ax,Ay,Az
256,-344,15912
256,-608,16104
512,-512,15696
511,-344,15936
511,-320,15992
256,-280,15688
511,-480,15936
512,-472,15704
512,-448,15664
767,-496,15672
511,-520,15856
511,-304,15712
255,-176,4008
255,-144,3992
255,-152,3992
255,-112,3960
255,-144,4008
0,-152,3976
0,-144,3992
0,-144,3968
255,-144,3976
255,-128,4000
255,-152,3960
255,-160,3984
0,-120,3952
255,-112,3984
0,-120,3984
255,-112,3976
0,-152,3952
0,-104,3984
255,-136,3976
0,-152,3992
255,-128,4008
0,-152,3984
255,-184,4000
0,-160,3968
0,-104,3936
0,-128,3976
0,-120,4016
0,-176,4000
0,-136,3984
0,-96,3960
0,-136,3992
255,-128,4000
255,-136,3968
255,-160,3960
255,-152,3976
0,-136,3976
256,-512,7928
511,-224,7704
255,-104,7992
256,-232,7736
255,-272,8120
0,-16,7696
255,-24,8008
0,-48,8008
0,-56,7936
0,-24,7680
255,-8,7696
511,-488,7928
255,-8,7968
0,-24,7696
256,-232,7696
255,-48,7960
0,-296,8160
0,-352,8176
0,-56,7712
511,-216,7720
511,-192,7976
0,-16,7688
511,-240,7760
255,-328,7912
255,-8,8008
256,-232,7680
511,-248,7952
256,-232,7736
255,-16,7728
255,-72,7968
0,-32,7688
255,-32,7680
255,-32,7976
0,-16,7960
0,-312,7896
255,-72,7976
256,-248,7696
511,-400,11912
256,-392,11976
511,-376,11960
256,-472,11952
256,-440,11960
256,-392,11944
256,-464,12000
511,-400,11952
256,-312,11944
256,-320,11920
256,-368,11608
511,-456,11984
255,-312,11864
0,-272,11968
511,-384,11944
256,-368,11712
511,-504,11936
511,-416,11976
511,-432,11960
256,-352,11968
256,-360,11984
256,-368,11880
256,-456,12016
256,-432,11976
511,-192,11528
511,-408,11928
256,-352,11680
511,-344,11872
511,-280,11952
511,-400,11928
256,-416,12000
256,-384,11912
256,-280,15720
511,-296,15664
511,-296,15944
256,-328,15880
256,-392,16128
256,-304,15936
512,-488,15904
512,-496,15888
256,-296,15672
256,-352,15944
256,-328,15784
256,-264,15960
256,-368,15968
511,-304,15912
512,-392,15920
512,-488,15616
511,-264,15648
511,-408,15952
256,-264,15688
511,-344,15912
256,-264,15632
511,-288,15776
256,-648,15856
511,-392,15920
0,-120,3976
255,-160,3984
255,-160,3976
0,-136,3976
0,-152,3968
0,-136,4000
0,-136,3960
255,-192,4040
255,-128,4008
0,-144,3952
255,-136,3960
0,-136,3992
0,-120,3984
255,-96,3968
255,-128,3992
255,-168,3960
0,-120,3976
0,-112,4000
0,-160,3960
255,-152,4000
0,-160,4000
0,-136,3976
255,-128,3968
0,-136,3952
255,-152,3960
0,-88,3984
255,-128,3992
0,-144,4000
255,-104,3984
0,-136,3992
0,-128,3976
0,-64,7984
0,-32,7688
255,-24,7976
255,-264,7920
511,-488,8176
256,-224,7696
511,-512,7928
255,-72,7968
0,-32,7952
0,-80,8000
0,-280,7928
255,-16,7704
511,-256,7728
511,-208,7960
256,-256,7760
511,-200,7736
255,-40,7704
255,-32,7712
511,-216,7744
511,-216,7968
256,-504,7888
255,-32,7944
0,-32,8000
256,-192,7944
256,-504,7904
511,-232,7944
256,-232,7680
255,-40,8016
0,-56,8000
0,-48,7984
0,-296,7920
511,-216,7936
256,-424,12176
0,-272,11880
511,-408,11928
256,-344,11936
256,-496,11712
511,-328,11936
256,-440,11936
511,-496,11960
511,-392,11928
511,-408,11952
