Ax,Ay,Az
511,-426,15642
511,-423,15643
511,-423,15643
511,-425,15645
511,-428,15645
511,-427,15645
511,-426,15645
511,-424,15643
511,-423,15641
511,-424,15642
511,-424,15641
511,-424,15640
511,-425,15637
511,-427,15640
511,-428,15641
511,-426,15640
511,-425,15639
511,-425,15637
511,-425,15639
511,-423,15639
511,-423,15641
511,-424,15643
511,-422,15641
511,-424,15640
511,-426,15639
511,-423,15637
511,-422,15636
511,-421,15636
511,-422,15635
511,-423,15633
511,-423,15633
511,-428,15633
511,-426,15633
511,-426,15633
511,-425,15634
511,-422,15633
511,-422,15631
511,-423,15633
511,-425,15635
511,-428,15637
511,-432,15637
511,-433,15637
511,-435,15637
511,-436,15640
511,-435,15641
511,-434,15642
511,-434,15641
511,-435,15639
511,-438,15638
511,-438,15633
511,-435,15629
511,-436,15627
511,-432,15628
511,-430,15628
511,-431,15630
511,-432,15628
511,-430,15630
511,-433,15631
511,-434,15632
511,-433,15634
511,-433,15633
511,-432,15634
511,-433,15637
511,-435,15635
511,-437,15636
511,-437,15639
511,-440,15637
511,-438,15637
511,-435,15639
511,-436,15640
511,-435,15639
511,-436,15642
511,-432,15642
511,-432,15642
511,-429,15643
511,-428,15642
511,-429,15645
511,-430,15645
511,-431,15645
511,-431,15646
511,-425,15646
511,-427,15646
511,-426,15644
511,-425,15643
511,-425,15643
511,-425,15640
511,-424,15638
511,-419,15638
511,-416,15641
511,-417,15645
511,-416,15649
511,-415,15647
511,-418,15646
511,-415,15648
511,-415,15645
511,-418,15639
511,-420,15638
511,-419,15635
511,-415,15636
511,-416,15635
511,-419,15633
511,-421,15633
511,-420,15634
511,-419,15633
511,-416,15634
511,-414,15631
511,-415,15630
511,-413,15632
511,-414,15631
511,-415,15631
511,-416,15632
511,-415,15634
511,-417,15636
511,-420,15636
511,-418,15638
511,-420,15638
511,-425,15639
511,-425,15641
511,-425,15641
511,-428,15638
511,-430,15639
511,-429,15639
511,-428,15637
511,-426,15637
511,-427,15636
511,-429,15635
511,-428,15638
511,-429,15638
511,-428,15639
511,-425,15639
511,-424,15637
511,-423,15635
511,-420,15636
511,-422,15638
511,-424,15640
511,-423,15639
511,-423,15640
511,-425,15642
511,-424,15642
511,-426,15642
511,-425,15639
511,-423,15639
511,-424,15641
511,-425,15641
511,-426,15641
511,-426,15640
511,-427,15642
511,-429,15643
511,-430,15645
511,-432,15643
511,-433,15642
511,-432,15642
511,-430,15643
511,-430,15642
511,-426,15640
511,-427,15641
511,-427,15642
511,-428,15642
511,-428,15645
511,-427,15644
511,-425,15644
511,-422,15645
511,-420,15647
511,-419,15651
511,-416,15650
511,-418,15649
511,-416,15649
511,-414,15646
511,-415,15643
511,-417,15643
511,-418,15642
511,-417,15641
511,-416,15641
511,-417,15642
511,-419,15644
511,-419,15642
511,-420,15641
511,-418,15641
511,-417,15642
511,-416,15640
511,-417,15640
511,-417,15639
511,-417,15633
511,-414,15636
511,-415,15637
511,-419,15634
511,-416,15637
511,-414,15634
511,-415,15636
511,-417,15635
511,-421,15637
511,-422,15639
511,-420,15637
511,-419,15638
511,-419,15639
511,-414,15643
511,-412,15641
511,-412,15641
511,-414,15642
511,-413,15639
511,-413,15640
511,-416,15636
511,-416,15632
511,-417,15628
511,-418,15628
511,-420,15630
511,-422,15630
511,-425,15632
511,-426,15629
511,-428,15626
511,-427,15626
511,-427,15623
511,-429,15623
511,-426,15622
511,-424,15624
511,-423,15623
511,-423,15625
511,-422,15625
511,-424,15626
511,-424,15629
511,-424,15632
511,-424,15636
511,-422,15639
511,-422,15638
511,-423,15637
511,-420,15639
511,-422,15636
511,-423,15634
511,-423,15635
511,-425,15636
511,-423,15636
511,-424,15633
511,-424,15631
511,-422,15631
511,-420,15632
511,-421,15634
511,-421,15635
511,-423,15634
511,-428,15631
511,-428,15634
511,-428,15635
511,-427,15634
511,-427,15636
511,-430,15637
511,-432,15636
511,-433,15633
511,-434,15636
511,-435,15637
511,-438,15640
