Ax,Ay,Az
-256,-444,15627
-1,-448,15627
-1,-444,15622
-1,-436,15630
-1,-436,15627
-1,-440,15627
-1,-447,15632
-1,-447,15633
-1,-452,15635
-1,-453,15633
-1,-453,15634
-1,-452,15637
-1,-456,15639
-1,-462,15892
-256,-466,15628
-1,-468,15882
-256,-462,15881
-256,-458,15626
-1,-457,15629
-1,-454,15885
-256,-460,15632
-1,-459,15882
-256,-463,15625
-1,-466,15892
-256,-462,15887
-256,-457,15888
-256,-460,15888
-256,-458,15634
-1,-457,15635
-1,-461,15634
-1,-463,15631
-1,-454,15627
-1,-454,15630
-1,-451,15636
-1,-451,15889
-256,-450,15891
-256,-450,15892
-256,-452,15895
-256,-449,15636
-1,-442,15641
-1,-448,15646
-1,-445,15903
-256,-449,15902
-256,-448,15641
-1,-453,15641
-1,-448,15895
-256,-452,15639
-1,-453,15636
-1,-451,15638
-1,-449,15634
-1,-454,15632
-1,-459,15631
-1,-455,15631
-1,-453,15630
-1,-452,15625
-1,-458,15622
-1,-458,15623
-1,-455,15624
-1,-458,15628
-1,-463,15626
-1,-461,15621
-1,-461,15616
-1,-457,15618
-1,-458,15616
-1,-716,15871
-1,-458,15620
-1,-459,15620
-1,-713,15870
-1,-718,15867
-1,-715,15869
-1,-460,15618
-1,-460,15622
-1,-458,15621
-1,-458,15630
-1,-461,15639
-1,-465,15643
-1,-464,15645
-1,-465,15646
-1,-466,15641
-1,-459,15641
-1,-459,15640
-1,-458,15637
-1,-456,15641
-1,-454,15648
-1,-456,15648
-1,-458,15645
-1,-462,15645
-1,-457,15648
-1,-453,15647
-1,-450,15645
-1,-445,15647
-1,-449,15648
-1,-451,15648
-1,-452,15643
-1,-452,15643
-1,-446,15645
-1,-447,15645
-1,-444,15646
-1,-451,15643
-1,-449,15644
-1,-444,15636
-1,-440,15634
-1,-438,15634
-1,-442,15641
-1,-442,15645
-1,-443,15642
-1,-444,15641
-1,-441,15636
-1,-442,15632
-1,-441,15624
-1,-442,15624
-1,-445,15627
-1,-444,15621
-1,-447,15621
-1,-452,15628
-1,-455,15627
-1,-458,15624
-1,-452,15627
-1,-457,15622
-1,-454,15620
-1,-458,15624
-1,-453,15626
-1,-451,15626
-1,-453,15631
-1,-454,15632
-1,-458,15632
-1,-451,15629
-1,-453,15631
-1,-456,15633
-1,-456,15630
-1,-459,15629
-1,-457,15627
-1,-455,15623
-1,-455,15627
-1,-450,15622
-1,-449,15624
-1,-450,15629
-1,-448,15625
-1,-446,15624
-1,-448,15624
-1,-450,15628
-1,-448,15628
-1,-448,15626
-1,-453,15621
-1,-456,15621
-1,-453,15627
-1,-453,15632
-1,-448,15634
-1,-449,15630
-1,-453,15629
-1,-453,15632
-1,-455,15630
-1,-454,15624
-1,-446,15623
-1,-436,15624
-1,-441,15621
-1,-442,15622
-1,-442,15619
-1,-438,15623
-1,-441,15623
-1,-443,15620
-1,-445,15621
-1,-445,15621
-1,-446,15625
-1,-447,15629
-1,-445,15628
-1,-442,15629
-1,-440,15630
-1,-439,15637
-1,-444,15634
-1,-447,15633
-1,-446,15628
-1,-447,15627
-1,-448,15624
-1,-451,15624
-1,-451,15623
-1,-456,15619
-1,-464,15619
-1,-719,15871
-1,-457,15616
-1,-710,15869
-1,-713,15870
-1,-712,15870
-1,-710,15870
-1,-706,15862
-1,-702,15863
-1,-707,15864
-1,-446,15616
-1,-449,15618
-1,-449,15627
-1,-442,15627
-1,-440,15630
-1,-435,15630
-1,-431,15632
-1,-423,15635
-1,-426,15637
-1,-428,15636
-1,-427,15629
-1,-438,15624
-1,-442,15622
-1,-447,15629
-1,-448,15634
-1,-446,15638
-1,-441,15636
-1,-445,15635
-1,-447,15643
-1,-450,15645
-1,-452,15640
-1,-446,15641
-1,-447,15641
-1,-447,15645
-1,-442,15642
-1,-447,15643
-1,-447,15646
-1,-448,15645
-1,-444,15643
-1,-443,15640
-1,-448,15641
-1,-446,15640
-1,-444,15638
-1,-444,15635
-1,-447,15639
-1,-450,15633
-1,-458,15627
-1,-455,15630
-1,-455,15631
-1,-460,15629
-1,-460,15627
-1,-455,15630
-1,-451,15630
-1,-448,15631
-1,-452,15633
-1,-447,15630
-1,-440,15629
-1,-447,15629
-1,-450,15629
-1,-454,15629
-1,-465,15627
-1,-468,15629
-1,-471,15629
-1,-468,15630
-1,-460,15628
-1,-458,15628
-1,-461,15627
-1,-462,15631
-1,-464,15632
-1,-474,15633
-1,-473,15631
-1,-474,15629
-1,-472,15631
-1,-478,15626
-1,-477,15629
-1,-477,15633
-1,-481,15633
-1,-477,15630
-1,-467,15631
-1,-462,15628
-1,-463,15622
-1,-458,15625
-1,-463,15626
-1,-471,15621
-1,-471,15617
-1,-472,15620
-1,-467,15622
-1,-470,15622
-1,-465,15625
-1,-461,15624
-1,-450,15631
-1,-455,15634
-1,-450,15636
-1,-453,15647
-1,-457,15647
-1,-459,15641
-1,-459,15643
-1,-461,15642
-1,-461,15639
-1,-467,15634
-1,-467,15627
-1,-465,15632
-1,-468,15630
-1,-464,15635
-1,-457,15640
-1,-449,15639
-1,-444,15641
-1,-448,15642
-1,-449,15639
-1,-442,15643
-1,-438,15646
-1,-432,15648
-1,-431,15641
-1,-436,15638
-1,-434,15628
-1,-430,15625
-1,-436,15619
-1,-687,15871
-1,-688,15866
-1,-692,15867
-1,-437,15617
-1,-432,15620
-1,-435,15624
-1,-432,15626
-1,-430,15628
-1,-431,15630
-1,-436,15631
-1,-431,15635
-1,-435,15634
-1,-442,15636
-1,-440,15633
-1,-441,15637
-1,-443,15640
-1,-442,15638
-1,-442,15635
-1,-442,15636
-1,-439,15639
-1,-433,15640
-1,-432,15636
-1,-433,15636
-1,-434,15634
-1,-442,15634
-1,-439,15629
-1,-442,15629
-1,-440,15623
-1,-440,15623
-1,-447,15629
-1,-441,15626
-1,-441,15630
-1,-446,15630
-1,-443,15629
-1,-439,15628
-1,-439,15624
-1,-431,15624
-1,-431,15628
-1,-427,15628
-1,-426,15631
-1,-429,15633
-1,-431,15635
-1,-437,15886
-256,-431,15883
-256,-436,15630
-1,-437,15628
-1,-438,15629
-1,-445,15632
-1,-446,15634
-1,-449,15635
-1,-437,15629
-1,-441,15625
-1,-444,15623
-1,-442,15628
-1,-446,15635
-1,-444,15633
-1,-446,15628
-1,-446,15621
-1,-442,15619
-1,-443,15625
-1,-445,15621
-1,-447,15625
-1,-448,15632
-1,-447,15641
-1,-449,15642
-1,-453,15642
-1,-456,15638
-1,-457,15630
-1,-463,15633
-1,-466,15635
-1,-466,15634
-1,-466,15635
-1,-459,15631
-1,-452,15628
-1,-453,15635
-1,-454,15641
-1,-450,15644
-1,-448,15640
-1,-449,15641
-1,-447,15647
-1,-452,15653
-1,-449,15650
-1,-446,15647
-1,-443,15644
-1,-440,15642
-1,-446,15641
-1,-448,15635
-1,-450,15634
-1,-452,15636
-1,-448,15636
-1,-446,15641
-1,-444,15642
-1,-450,15643
-1,-458,15643
-1,-455,15639
-1,-452,15636
-1,-460,15634
-1,-458,15635
-1,-457,15639
-1,-460,15641
-1,-452,15640
-1,-446,15648
-1,-445,15905
-256,-441,15649
-1,-450,15643
-1,-446,15643
-1,-443,15639
-1,-449,15638
-1,-448,15645
-1,-448,15649
-1,-448,15648
-1,-443,15654
-1,-456,15651
-1,-451,15646
-1,-447,15648
-1,-451,15645
-1,-443,15644
-1,-451,15636
-1,-452,15646
-1,-445,15645
-1,-451,15640
-1,-451,15633
-1,-450,15634
-1,-452,15640
-1,-449,15635
-1,-448,15627
-1,-451,15629
-1,-448,15633
-1,-443,15633
-1,-445,15632
-1,-452,15635
-1,-449,15630
-1,-445,15633
-1,-451,15634
-1,-449,15638
-1,-447,15640
-1,-454,15638
-1,-443,15638
-1,-441,15638
-1,-441,15634
-1,-435,15631
-1,-434,15624
-1,-435,15626
-1,-431,15627
-1,-433,15624
-1,-436,15625
-1,-435,15629
-1,-436,15631
-1,-439,15625
-1,-441,15624
-1,-440,15624
-1,-446,15626
-1,-446,15624
-1,-444,15623
-1,-448,15625
-1,-444,15629
-1,-440,15630
-1,-446,15635
-1,-442,15636
-1,-442,15632
-1,-445,15632
-1,-440,15630
-1,-435,15639
-1,-430,15642
-1,-432,15644
-1,-434,15650
-1,-428,15648
-1,-431,15641
-1,-433,15638
-1,-437,15637
-1,-443,15636
-1,-441,15643
-1,-443,15644
-1,-433,15644
-1,-429,15645
-1,-426,15645
-1,-431,15646
-1,-432,15647
-1,-435,15645
-1,-433,15645
-1,-434,15642
-1,-435,15643
-1,-429,15642
-1,-430,15642
-1,-427,15638
-1,-433,15639
-1,-440,15643
-1,-438,15646
-1,-439,15642
-1,-431,15645
-1,-430,15650
-1,-428,15649
-1,-438,15645
-1,-447,15638
-1,-444,15632
-1,-446,15635
-1,-449,15643
-1,-446,15641
-1,-447,15639
-1,-453,15639
-1,-453,15644
-1,-446,15642
-1,-442,15639
-1,-449,15643
-1,-454,15645
-1,-455,15644
-1,-455,15640
-1,-452,15636
-1,-449,15626
-1,-449,15881
-256,-448,15624
-1,-447,15629
-1,-449,15630
-1,-444,15631
-1,-446,15629
-1,-444,15624
-1,-444,15626
-1,-451,15625
-1,-455,15623
-1,-447,15621
-1,-444,15621
-1,-442,15619
-1,-442,15620
-1,-444,15630
-1,-450,15639
-1,-451,15641
-1,-451,15643
-1,-452,15644
-1,-458,15644
-1,-464,15648
-1,-463,15655
-1,-462,15652
-1,-456,15652
-1,-454,15652
-1,-452,15647
-1,-450,15639
-1,-447,15643
-1,-451,15643
-1,-450,15639
-1,-450,15634
-1,-455,15630
-1,-456,15633
-1,-454,15632
-1,-446,15634
-1,-452,15637
-1,-454,15636
-1,-456,15632
-1,-453,15635
-1,-460,15637
-1,-461,15635
-1,-458,15639
-1,-461,15634
-1,-458,15638
-1,-459,15636
-1,-453,15629
-1,-451,15630
-1,-453,15630
-1,-455,15627
-1,-458,15625
-1,-460,15629
-1,-461,15635
-1,-460,15634
-1,-457,15633
-1,-461,15633
-1,-462,15638
-1,-456,15644
-1,-452,15642
-1,-454,15649
-1,-457,15651
-1,-453,15648
-1,-454,15644
-1,-458,15646
-1,-458,15647
-1,-456,15641
-1,-447,15650
-1,-446,15651
-1,-444,15650
-1,-442,15646
-1,-442,15640
-1,-443,15633
-1,-445,15631
-1,-440,15634
-1,-444,15638
-1,-440,15643
-1,-439,15647
-1,-442,15647
-1,-450,15643
-1,-447,15638
-1,-445,15643
-1,-445,15643
-1,-447,15639
-1,-452,15635
-1,-452,15629
-1,-449,15623
-1,-456,15618
-1,-716,16127
-256,-455,15619
-1,-446,15621
-1,-453,15623
-1,-456,15631
-1,-457,15631
-1,-461,15629
-1,-455,15636
-1,-458,15641
-1,-456,15637
-1,-453,15637
-1,-453,15637
-1,-452,15642
-1,-455,15645
-1,-448,15646
-1,-442,15640
-1,-443,15639
-1,-442,15647
-1,-440,15649
-1,-438,15649
-1,-435,15646
-1,-433,15648
-1,-438,15644
-1,-443,15643
-1,-440,15646
-1,-439,15640
-1,-437,15638
-1,-440,15635
-1,-439,15637
-1,-444,15630
-1,-446,15630
-1,-450,15628
-1,-446,15625
-1,-446,15626
-1,-448,15622
-1,-451,15626
-1,-452,15630
-1,-454,15627
-1,-456,15624
-1,-454,15627
-1,-449,15627
-1,-452,15630
-1,-446,15627
-1,-448,15626
-1,-452,15619
-1,-452,15626
-1,-455,15630
-1,-455,15622
-1,-457,15624
-1,-459,15625
-1,-457,15623
-1,-460,15623
-1,-459,15625
-1,-457,15624
-1,-452,15624
-1,-450,15626
-1,-449,15626
-1,-453,15632
-1,-455,15633
-1,-456,15634
-1,-449,15633
-1,-447,15630
-1,-446,15627
-1,-451,15627
-1,-450,15629
-1,-455,15629
-1,-454,15635
-1,-457,15629
-1,-453,15625
-1,-455,15633
-1,-461,15639
-1,-458,15642
-1,-453,15641
-1,-454,15640
-1,-449,15646
-1,-449,15650
-1,-448,15648
-1,-446,15649
-1,-442,15647
-1,-436,15639
-1,-427,15638
-1,-427,15644
-1,-429,15644
-1,-428,15641
-1,-427,15645
-1,-431,15641
-1,-433,15635
-1,-441,15638
-1,-441,15642
-1,-443,15639
-1,-436,15639
-1,-435,15634
-1,-436,15634
-1,-437,15638
-1,-436,15642
-1,-435,15644
-1,-437,15900
-256,-439,15648
-1,-446,15909
-256,-445,15905
-256,-447,15901
-256,-445,15648
-1,-451,15650
-1,-456,15652
-1,-454,15651
-1,-454,15647
-1,-451,15652
-1,-450,15649
-1,-452,15649
-1,-454,15647
-1,-455,15648
-1,-462,15642
-1,-462,15643
-1,-468,15646
-1,-461,15644
-1,-451,15638
-1,-444,15634
-1,-446,15631
-1,-443,15628
-1,-445,15632
-1,-449,15629
-1,-449,15626
-1,-454,15631
-1,-449,15628
-1,-453,15622
-1,-448,15618
-1,-446,15618
-1,-443,15623
-1,-443,15630
-1,-447,15634
-1,-454,15633
-1,-453,15629
-1,-454,15622
-1,-454,15622
-1,-454,15625
-1,-452,15623
-1,-446,15623
-1,-451,15621
-1,-449,15627
-1,-447,15632
-1,-443,15632
-1,-444,15635
-1,-445,15627
-1,-448,15625
-1,-443,15623
-1,-443,15625
-1,-447,15625
-1,-445,15624
-1,-450,15884
-256,-450,15890
-256,-444,15890
-256,-441,15890
-256,-439,15896
-256,-439,15642
-1,-437,15645
-1,-439,15650
-1,-436,15650
-1,-441,15648
-1,-443,15648
-1,-439,15648
-1,-435,15651
-1,-434,15648
-1,-436,15647
-1,-442,15648
-1,-449,15645
-1,-455,15643
-1,-455,15647
-1,-455,15650
-1,-454,15644
-1,-459,15639
-1,-455,15637
-1,-445,15634
-1,-450,15635
-1,-454,15634
-1,-458,15628
-1,-452,15627
-1,-456,15624
-1,-453,15625
-1,-453,15629
-1,-447,15633
-1,-438,15633
-1,-437,15631
-1,-441,15628
-1,-438,15627
-1,-431,15627
-1,-427,15624
-1,-429,15624
-1,-429,15623
-1,-430,15619
-1,-435,15627
-1,-436,15631
-1,-437,15630
-1,-437,15626
-1,-432,15630
-1,-434,15629
-1,-432,15628
-1,-430,15625
-1,-434,15624
-1,-437,15624
-1,-445,15624
-1,-452,15623
-1,-459,15623
-1,-456,15626
-1,-456,15624
-1,-454,15628
-1,-450,15632
-1,-452,15630
-1,-453,15629
-1,-459,15632
-1,-452,15632
-1,-456,15627
-1,-457,15631
-1,-452,15636
-1,-447,15636
-1,-449,15638
-1,-450,15633
-1,-448,15629
-1,-454,15633
-1,-449,15636
-1,-445,15644
-1,-444,15641
-1,-440,15644
-1,-446,15642
-1,-441,15900
-256,-436,15897
-256,-432,15634
-1,-431,15629
-1,-432,15630
-1,-437,15629
-1,-439,15630
-1,-437,15629
-1,-438,15633
-1,-432,15632
-1,-430,15631
-1,-433,15634
-1,-433,15635
-1,-432,15632
-1,-430,15631
-1,-431,15638
-1,-429,15638
-1,-431,15637
-1,-433,15637
-1,-439,15641
-1,-445,15644
-1,-446,15645
-1,-449,15646
-1,-446,15644
-1,-449,15643
-1,-448,15644
-1,-448,15638
-1,-447,15636
-1,-440,15637
-1,-443,15633
-1,-447,15632
-1,-443,15628
-1,-447,15623
-1,-443,15625
-1,-445,15620
-1,-440,15623
-1,-437,15620
-1,-439,15618
-1,-444,15624
-1,-446,15629
-1,-442,15629
-1,-439,15629
-1,-444,15627
-1,-442,15623
-1,-439,15626
-1,-441,15628
-1,-440,15624
-1,-436,15626
-1,-436,15889
-256,-437,15886
-256,-445,15628
-1,-447,15627
-1,-446,15884
-256,-446,15888
-256,-450,15632
-1,-449,15628
-1,-445,15621
-1,-441,15624
-1,-452,15622
-1,-450,15623
-1,-450,15626
-1,-444,15628
-1,-437,15627
-1,-432,15626
-1,-429,15622
-1,-433,15621
-1,-435,15624
-1,-435,15628
-1,-434,15628
-1,-434,15625
-1,-436,15625
-1,-436,15627
-1,-434,15636
-1,-432,15637
-1,-433,15633
-1,-437,15632
-1,-441,15634
-1,-447,15634
-1,-450,15631
-1,-445,15628
-1,-445,15633
-1,-444,15637
-1,-445,15646
-1,-445,15901
-256,-437,15643
-1,-438,15637
-1,-439,15631
-1,-443,15628
-1,-444,15623
-1,-443,15625
-1,-437,15622
-1,-437,15616
-1,-699,15870
-1,-698,15869
-1,-695,15865
-1,-693,15866
-1,-695,15870
-1,-439,15616
-1,-701,15870
-1,-706,15863
-1,-704,15866
-1,-705,15866
-1,-710,15866
-1,-711,15869
-1,-707,15871
-1,-450,15619
-1,-441,15622
-1,-441,15625
-1,-443,15633
-1,-441,15637
-1,-443,15637
-1,-442,15638
-1,-445,15631
-1,-445,15632
-1,-444,15625
-1,-447,15623
-1,-442,15625
-1,-445,15633
-1,-450,15627
-1,-452,15629
-1,-452,15633
-1,-452,15636
-1,-450,15634
-1,-451,15630
-1,-452,15628
-1,-448,15629
-1,-447,15633
-1,-443,15634
-1,-443,15635
-1,-443,15635
-1,-444,15893
-256,-452,15638
-1,-454,15889
-256,-451,15634
-1,-444,15639
-1,-443,15639
-1,-444,15637
-1,-443,15630
-1,-451,15625
-1,-458,15625
-1,-453,15624
-1,-449,15626
-1,-450,15626
-1,-451,15630
