Ax,Ay,Az
-256,-424,15632
-1,-452,15681
-1,-473,15628
-1,-474,15635
-1,-442,15643
-1,-683,16109
-256,-437,15650
-1,-482,15876
-256,-448,15902
-256,-477,15629
-1,-452,15909
-256,-426,15625
-1,-475,15628
-1,-449,15887
-256,-459,15918
-256,-453,15650
-1,-466,15652
-1,-461,15903
-256,-481,15910
-256,-511,15893
-256,-470,15894
-256,-445,15897
-256,-460,15640
-1,-482,15656
-1,-511,15630
-1,-494,15637
-1,-454,15625
-1,-450,15656
-1,-469,15899
-256,-470,15622
-1,-431,15625
-1,-486,15647
-1,-500,15923
-256,-490,15909
-256,-462,15922
-256,-487,15918
-256,-496,15915
-256,-714,15858
-1,-711,16103
-256,-720,15868
-1,-690,15866
-1,-443,15640
-1,-420,15616
-1,-697,15850
-1,-695,15850
-1,-680,15845
-1,-685,15845
-1,-434,15618
-1,-704,15870
-1,-728,16107
-256,-725,15847
-1,-741,15853
-1,-475,15889
-256,-510,15626
-1,-745,15860
-1,-453,15631
-1,-435,15922
-256,-416,15683
-1,-457,15625
-1,-708,15852
-1,-466,15652
-1,-459,15636
-1,-455,15632
-1,-449,15674
-1,-422,15632
-1,-679,16124
-256,-691,16109
-256,-467,15666
-1,-472,15646
-1,-713,16102
-256,-724,15867
-1,-488,15617
-1,-709,15862
-1,-715,15870
-1,-425,15650
-1,-425,15915
-256,-459,15660
-1,-453,15630
-1,-491,15669
-1,-450,15669
-1,-442,15657
-1,-429,15677
-1,-416,15643
-1,-423,15618
-1,-440,15908
-256,-446,15923
-256,-671,16106
-256,-421,15897
-256,-735,15861
-1,-468,15891
-256,-470,15641
-1,-464,15649
-1,-438,15653
-1,-698,15867
-1,-722,15865
-1,-472,15618
-1,-458,15627
-1,-443,15638
-1,-678,15863
-1,-712,15861
-1,-435,15645
-1,-718,15847
-1,-706,16120
-256,-450,15627
-1,-730,15847
-1,-462,15648
-1,-459,15639
-1,-459,15640
-1,-462,15666
-1,-499,15640
-1,-446,15628
-1,-432,15649
-1,-422,15886
-256,-434,15926
-256,-479,15927
-256,-496,15911
-256,-433,15909
-256,-434,15903
-256,-426,15913
-256,-694,15856
-1,-715,15868
-1,-668,15863
-1,-475,15632
-1,-464,15629
-1,-419,15639
-1,-698,16114
-256,-725,15862
-1,-487,15634
-1,-434,15667
-1,-427,15623
-1,-465,15633
-1,-444,15635
-1,-449,15629
-1,-458,15647
-1,-447,15664
-1,-414,15674
-1,-441,15666
-1,-707,15867
-1,-505,15622
-1,-458,15623
-1,-446,15643
-1,-479,15647
-1,-434,15653
-1,-454,15673
-1,-422,15666
-1,-447,15642
-1,-485,15653
-1,-480,15624
-257,-534,15840
-1,-725,15854
-1,-697,15869
-1,-471,15638
-1,-412,15899
-256,-463,15644
-1,-661,15860
-1,-709,15849
-1,-468,15624
-1,-466,15660
-1,-467,15645
-1,-707,16112
-256,-674,16126
-256,-689,15828
-1,-697,15854
-1,-717,16110
-256,-742,16122
-256,-430,15896
-256,-470,15631
-1,-454,15643
-1,-467,15673
-1,-449,15650
-1,-708,15859
-1,-662,15871
-1,-702,15848
-1,-466,15631
-1,-435,15650
-1,-427,15634
-1,-440,15622
-1,-687,16120
-256,-691,16106
-256,-495,15630
-1,-480,15671
-1,-496,15894
-256,-744,16122
-256,-751,16126
-256,-461,15627
-1,-456,15904
-256,-448,15645
-1,-710,16111
-256,-707,16126
-256,-454,15621
-1,-487,15875
-256,-761,16125
-256,-719,15865
-1,-479,15625
-1,-695,15864
-1,-432,15893
-256,-448,15645
-1,-449,15624
-1,-691,15845
-1,-688,15835
-1,-442,15623
-1,-452,15633
-1,-489,15629
-1,-464,15644
-1,-477,15669
-1,-433,15648
-1,-416,15643
-1,-667,16111
-256,-462,15620
-1,-724,15862
-1,-446,15882
-256,-467,15706
-1,-474,15647
-1,-453,15901
-256,-455,15639
-1,-453,15640
-1,-449,15660
-1,-413,15645
-1,-690,15856
-1,-455,15648
-1,-483,15645
-1,-448,15662
-1,-406,15920
-256,-440,15884
-256,-436,15886
-256,-454,15891
-256,-479,15620
-1,-419,15640
-1,-408,15628
-1,-431,15622
-1,-451,15878
-256,-463,15877
-256,-438,15638
-1,-457,15665
-1,-449,15673
-1,-459,15656
-1,-478,15646
-1,-746,15871
-1,-478,15623
-1,-424,15659
-1,-429,15634
-1,-463,15961
-256,-489,15676
-1,-457,15645
-1,-623,15864
-1,-428,15628
-1,-735,15867
-1,-424,15621
-1,-418,15875
-256,-438,15645
-1,-429,15662
-1,-458,15658
-1,-755,15850
-1,-693,15862
-1,-449,15620
-1,-424,15890
-256,-418,15668
-1,-435,15652
-1,-729,15851
-1,-735,15837
-1,-463,15879
-256,-688,15844
-1,-399,15631
-1,-459,15621
-1,-457,15631
-1,-459,15880
-256,-475,15647
-1,-439,15624
-1,-421,15650
-1,-437,15689
-1,-455,15616
-1,-708,15840
-1,-719,15844
-1,-704,15849
-1,-687,15863
-1,-476,15631
-1,-469,15644
-1,-461,15633
-1,-445,15655
-1,-718,15862
-1,-725,15864
-1,-498,15632
-1,-471,15626
-1,-724,15866
-1,-722,15869
-1,-404,15652
-1,-436,15896
-256,-736,15868
-1,-720,15858
-1,-719,15847
-1,-507,15620
-1,-498,15647
-1,-504,15628
-1,-443,15899
-256,-473,15647
-1,-696,15843
-1,-699,16120
-256,-448,15883
-256,-469,15634
-1,-488,15630
-1,-452,15884
-256,-484,15888
-512,-527,16118
-256,-472,15637
-1,-699,15862
-1,-677,16124
-256,-458,15622
-1,-752,15871
-1,-477,15617
-1,-441,15915
-256,-430,15629
-1,-437,15655
-1,-415,15649
-1,-435,15946
-256,-502,15909
-256,-470,15896
-512,-521,16094
-256,-496,15629
-1,-751,15864
-1,-713,15853
-1,-703,15857
-1,-686,15864
-1,-429,15664
-1,-450,15688
-1,-427,15643
-1,-457,15890
-256,-457,15643
-1,-747,15850
-1,-747,15856
-1,-731,15858
-1,-718,15858
-1,-711,15852
-1,-462,15935
-256,-458,15670
-1,-482,15923
-256,-472,15667
-1,-453,15674
-1,-464,15644
-1,-705,15866
-1,-696,16122
-256,-432,15635
-1,-722,15871
-1,-701,16113
-256,-711,16058
-256,-447,15616
-1,-460,15642
-1,-453,15629
-1,-464,15632
-1,-728,15852
-1,-708,15821
-1,-457,15900
-256,-441,15922
-256,-504,15627
-1,-684,16115
-256,-420,15909
-256,-502,15673
-1,-498,15633
-1,-706,15870
-1,-451,15646
-1,-474,15644
-1,-738,15871
-1,-436,15629
-1,-713,15853
-1,-439,15618
-1,-449,15637
-1,-454,15901
-256,-462,15892
-256,-707,16102
-256,-486,15621
-1,-426,15641
-1,-457,15667
-1,-430,15672
-1,-409,15933
-256,-439,15616
-1,-678,15857
-1,-425,15616
-1,-444,15625
-1,-444,15890
-256,-449,15624
-1,-710,15870
-1,-469,15648
-1,-449,15671
-1,-438,15621
-1,-716,15859
-1,-708,15838
-1,-669,16090
-256,-478,15625
-1,-450,15657
-1,-473,15634
-1,-442,15637
-1,-471,15670
-1,-460,15877
-256,-411,15691
-1,-402,15644
-1,-466,15906
-256,-494,15648
-1,-467,15654
-1,-410,15882
-256,-439,15885
-256,-668,16109
-256,-706,16108
-256,-678,16126
-256,-455,15896
-256,-714,15862
-1,-744,16127
-256,-473,15904
-256,-464,15872
-256,-443,15875
-256,-760,15870
-1,-468,15628
-1,-502,15651
-1,-453,15653
-1,-475,15654
-1,-436,15660
-1,-499,15903
-256,-486,15628
-1,-482,15636
-1,-453,15617
-1,-679,15844
-1,-427,15648
-1,-451,15646
-1,-485,15645
-1,-453,15889
-256,-431,15910
-256,-410,15646
-1,-419,15616
-1,-710,16123
-256,-410,15620
-1,-448,15621
-1,-454,15634
-1,-719,16120
-256,-716,16124
-256,-478,15887
-256,-447,15630
-1,-454,15624
-1,-431,15618
-1,-417,15881
-256,-457,15887
-256,-689,15859
-1,-654,15869
-1,-410,15621
-1,-444,15634
-1,-433,15629
-1,-717,15871
-1,-700,16123
-256,-469,15908
-256,-449,15646
-1,-427,15877
-256,-710,15848
-1,-444,15640
-1,-431,15638
-1,-401,15635
-1,-419,15638
-1,-453,15630
-1,-411,15883
-256,-683,15860
-1,-431,15625
-1,-445,15643
-1,-459,15655
-1,-451,15639
-1,-447,15643
-1,-454,15910
-256,-704,15864
-1,-433,15623
-1,-446,15626
-1,-450,15657
-1,-445,15628
-1,-504,15628
-1,-743,15839
-1,-768,15837
-1,-445,15641
-1,-430,15903
-256,-705,15835
-1,-714,16109
-256,-435,15631
-1,-441,15907
-256,-474,15900
-256,-474,15654
-1,-459,15618
-257,-513,15832
-1,-730,15846
-1,-742,15864
-1,-729,15867
-1,-500,15622
-1,-721,15861
-1,-447,15622
-1,-503,15628
-257,-257,15643
-1,-499,15645
-1,-507,15906
-256,-455,15879
-256,-474,15627
-1,-693,16125
-256,-468,15616
-1,-766,15849
-1,-465,15631
-1,-439,15631
-1,-412,15656
-1,-449,15956
-256,-436,15890
-256,-693,16109
-256,-440,15625
-1,-491,15668
-257,-258,15625
-1,-498,15637
-1,-441,15626
-1,-439,15626
-1,-465,15652
-1,-431,15627
-1,-478,15906
-256,-439,15618
-1,-696,15857
-1,-474,15661
-1,-481,15635
-1,-683,15867
-1,-705,16115
-256,-751,15860
-1,-728,15868
-1,-495,15632
-1,-426,15629
-1,-757,15870
-1,-738,16121
-256,-462,15632
-1,-473,15678
-1,-462,15920
-256,-431,15903
-256,-455,15623
-1,-745,15853
-1,-466,15631
-1,-426,15630
-1,-473,15625
-1,-487,15644
-1,-495,15639
-1,-697,15854
-1,-445,15633
-1,-746,15870
-1,-728,16124
-256,-480,15872
-256,-476,15923
-256,-464,15679
-1,-465,15877
-256,-473,15662
-1,-710,15871
-1,-717,15811
-1,-682,15865
-1,-650,15866
-1,-431,15649
-1,-453,15623
-1,-437,15659
-1,-426,15636
-1,-438,15619
-1,-713,15869
-1,-457,15632
-1,-479,15622
-1,-723,15863
-1,-707,15835
-1,-437,15930
-256,-478,15942
-256,-476,15890
-256,-739,15833
-1,-711,16094
-256,-738,15835
-1,-735,15844
-1,-735,15830
-1,-715,15821
-1,-728,16123
-256,-705,15864
-1,-460,15641
-1,-459,15661
-1,-477,15875
-256,-418,15618
-1,-406,15629
-1,-453,15635
-1,-426,15647
-1,-404,15643
-1,-419,15649
-1,-471,15656
-1,-461,15661
-1,-425,15651
-1,-423,15675
-1,-450,15641
-1,-672,15851
-1,-429,15625
-1,-461,15643
-1,-719,16123
-256,-741,16114
-256,-444,15671
-1,-421,15898
-256,-446,15664
-1,-455,15899
-256,-470,15658
-1,-442,15644
-256,-428,15645
-1,-483,15628
-1,-492,15626
-1,-453,15641
-1,-730,15848
-1,-734,16125
-256,-456,15902
-256,-427,15897
-256,-441,15648
-1,-464,15914
-256,-440,15631
-1,-393,15618
-1,-452,15670
-1,-437,15647
-1,-736,15868
-1,-460,15638
-1,-463,15627
-1,-481,15901
-256,-489,15643
-1,-490,15652
-1,-482,15641
-1,-459,15619
-1,-474,15896
-256,-448,15904
-256,-458,15874
-256,-749,16088
-256,-715,16076
-256,-738,15828
-257,-273,15875
-256,-482,15901
-256,-437,15896
-256,-401,15619
-1,-436,15618
-1,-738,16114
-256,-431,15896
-256,-424,15629
-1,-459,15656
-1,-473,15636
-1,-437,15662
-1,-429,15658
-1,-476,15617
-1,-739,15843
-257,-515,15857
-1,-716,15847
-1,-450,15620
-1,-731,16116
-256,-452,15894
-256,-686,15860
-1,-713,15848
-1,-696,16079
-256,-722,15848
-1,-475,15898
-256,-434,15875
-256,-714,16121
-256,-447,15872
-256,-440,15642
-1,-439,15661
-1,-417,15661
-1,-387,15670
-1,-433,15673
-1,-423,15648
-1,-449,15636
-1,-713,15863
-1,-739,15861
-1,-453,15890
-256,-426,15632
-1,-699,15856
-1,-698,15852
-1,-726,15859
-1,-694,15868
-1,-468,15653
-256,-442,15673
-1,-432,15642
-1,-442,15632
-1,-452,15632
-1,-460,15649
-1,-500,15645
-1,-495,15880
-256,-482,15900
-256,-510,15630
-1,-768,15871
-1,-463,15657
-1,-705,15865
-1,-453,15645
-1,-453,15638
-1,-457,15883
-256,-466,15621
-1,-450,15658
-1,-440,15637
-1,-449,15676
-1,-450,15626
-1,-461,15620
-1,-693,15867
-1,-490,15639
-1,-737,15853
-1,-689,15844
-1,-685,15839
-1,-438,15622
-1,-447,15625
-1,-450,15650
-1,-472,15888
-256,-749,16125
-256,-443,15626
-1,-681,15848
-1,-432,15620
-1,-408,15638
-1,-409,15646
-1,-427,15622
-1,-439,15648
-1,-425,15656
-1,-471,15637
-1,-468,15618
-1,-414,15641
-1,-424,15929
-256,-408,15903
-256,-719,16117
-256,-747,16102
-256,-728,15853
-1,-452,15877
-256,-680,16080
-256,-438,15622
-1,-427,15637
-1,-449,15637
-1,-502,15631
-1,-465,15646
-1,-454,15623
-1,-456,15632
-1,-479,15630
-1,-491,15637
-1,-745,16122
-256,-728,15867
-1,-487,15631
-1,-750,15864
-1,-450,15616
-1,-501,15880
-256,-466,15635
-1,-484,15630
-1,-472,15631
-1,-476,15649
-1,-465,15625
-1,-682,16126
-256,-440,15878
-256,-469,15915
-256,-438,15633
-1,-405,15874
-256,-663,15849
-1,-672,15818
-1,-718,16104
-256,-457,15633
-1,-453,15900
-256,-718,15870
-1,-402,15630
-1,-404,15634
-1,-421,15626
-1,-698,15868
-1,-439,15908
-256,-451,15651
-1,-504,15638
-1,-479,15898
-256,-716,15861
-1,-767,15839
-1,-709,15871
-1,-451,15626
-1,-727,16120
-256,-444,15898
-256,-430,15654
-1,-688,15839
-1,-707,16107
-256,-476,15627
-1,-454,15688
-1,-481,15911
-256,-685,16125
-256,-425,15650
-1,-442,15910
-256,-495,15899
-256,-713,16108
-256,-705,15850
-1,-728,15851
-1,-709,15851
-1,-434,15618
-1,-439,15921
-256,-472,15660
-1,-460,15671
