Ax,Ay,Az,Gx,Gy,Gz
-256,-398,15714,511,573,-66
-256,-394,15713,511,572,-66
-256,-394,15718,511,572,-66
-256,-395,15720,511,572,-66
-256,-394,15716,511,572,-66
-256,-393,15717,511,573,-67
-256,-394,15721,511,574,-66
-256,-395,15723,511,574,-67
-256,-396,15723,511,575,-67
-256,-399,15724,511,574,-68
-256,-397,15726,511,574,-68
-256,-397,15724,511,575,-67
-256,-398,15724,511,574,-68
-256,-397,15720,511,575,-68
-256,-394,15719,511,574,-67
-256,-392,15715,511,574,-68
-256,-390,15716,511,573,-68
-256,-390,15718,511,574,-69
-256,-388,15719,511,575,-68
-256,-388,15719,511,574,-68
-256,-388,15721,511,574,-68
-256,-388,15722,511,574,-67
-256,-387,15725,511,574,-66
-256,-387,15724,511,573,-68
-256,-388,15722,511,573,-67
-256,-384,15719,511,575,-66
-256,-386,15721,511,576,-65
-256,-382,15720,511,576,-65
-256,-383,15721,511,576,-65
-256,-384,15720,511,575,-65
-256,-385,15719,511,574,-66
-256,-388,15720,511,576,-66
-256,-390,15723,511,576,-65
-256,-389,15722,511,575,-64
-256,-388,15722,511,574,-63
-256,-387,15722,511,574,-64
-256,-387,15723,511,575,-63
-256,-389,15723,511,574,-63
-256,-390,15723,511,573,-64
-256,-394,15724,511,574,-66
-256,-397,15723,511,574,-65
-256,-397,15721,511,574,-64
-256,-398,15724,511,574,-65
-256,-398,15724,511,574,-65
-256,-397,15725,511,574,-65
-256,-397,15724,511,575,-66
-256,-400,15724,511,577,-66
-256,-400,15724,511,577,-68
-256,-400,15727,511,576,-68
-256,-400,15723,511,576,-67
-256,-399,15723,511,577,-67
-256,-398,15724,511,576,-67
-256,-398,15727,511,576,-66
-256,-396,15728,511,576,-67
-256,-397,15725,511,575,-66
-256,-395,15721,511,575,-67
-256,-394,15720,511,576,-66
-256,-394,15719,511,575,-65
-256,-396,15718,511,575,-65
-256,-396,15717,511,575,-66
-256,-397,15716,511,575,-66
-256,-396,15716,511,574,-68
-256,-397,15716,511,574,-67
-256,-397,15715,511,574,-67
-256,-395,15718,511,575,-67
-256,-397,15719,511,574,-67
-256,-391,15719,511,574,-66
-256,-392,15718,511,574,-66
-256,-391,15718,511,574,-66
-256,-393,15718,511,573,-66
-256,-390,15713,511,573,-69
-256,-388,15713,511,573,-68
-256,-388,15711,511,573,-67
-256,-389,15712,511,574,-66
-256,-386,15714,511,574,-67
-256,-386,15711,511,575,-66
-256,-383,15711,511,574,-66
-256,-379,15712,511,575,-64
-256,-381,15711,511,574,-65
-256,-381,15708,511,574,-65
-256,-383,15707,511,573,-64
-256,-388,15708,511,572,-65
-256,-389,15708,511,571,-65
-256,-387,15713,511,572,-66
-256,-385,15716,511,573,-66
-256,-387,15717,511,573,-66
-256,-386,15713,511,574,-67
-256,-390,15715,511,574,-67
-256,-393,15717,511,574,-67
-256,-393,15715,511,575,-67
-256,-395,15715,511,575,-69
-256,-396,15713,511,574,-69
-256,-395,15713,511,574,-70
-256,-398,15715,511,575,-70
-256,-396,15718,511,574,-70
-256,-399,15718,511,574,-70
-256,-402,15718,511,575,-70
-256,-401,15717,511,576,-69
-256,-402,15718,511,576,-68
-256,-403,15720,511,576,-70
-256,-401,15722,511,575,-69
-256,-403,15723,511,576,-68
-256,-399,15722,511,576,-67
-256,-394,15724,511,577,-68
-256,-396,15723,511,576,-69
-256,-395,15724,511,577,-69
-256,-395,15724,511,577,-69
-256,-395,15723,511,578,-70
-256,-393,15726,511,578,-69
-256,-393,15727,511,577,-68
-256,-395,15725,511,577,-70
-256,-395,15724,511,577,-70
-256,-395,15720,511,576,-70
-256,-397,15722,511,575,-69
-256,-395,15725,511,576,-69
-256,-393,15726,511,575,-70
-256,-396,15726,511,575,-70
-256,-396,15722,511,575,-71
-256,-394,15722,511,574,-71
-256,-391,15720,511,573,-71
-256,-391,15719,511,572,-72
-256,-391,15716,511,571,-71
-256,-392,15717,511,571,-71
-256,-394,15717,511,572,-71
-256,-392,15714,511,573,-69
-256,-388,15713,511,574,-70
-256,-388,15712,511,575,-71
-256,-388,15714,511,575,-71
-256,-390,15713,511,575,-71
-256,-386,15713,511,576,-72
-256,-389,15712,511,577,-72
-256,-389,15715,511,577,-72
-256,-389,15716,511,576,-73
-256,-390,15716,511,576,-71
-256,-392,15715,511,576,-71
-256,-394,15713,511,574,-71
-256,-393,15713,511,573,-71
-256,-391,15713,511,575,-71
-256,-388,15711,511,575,-70
-256,-390,15710,511,576,-70
-256,-389,15711,511,577,-70
-256,-390,15710,511,577,-68
-256,-391,15711,511,577,-68
-256,-392,15711,511,577,-69
-256,-392,15711,511,576,-69
-256,-392,15709,511,576,-69
-256,-393,15711,511,577,-69
-256,-391,15711,511,579,-69
-256,-390,15712,511,578,-70
-256,-392,15712,511,579,-68
-256,-391,15712,511,579,-67
-256,-392,15711,511,578,-68
-256,-391,15711,511,577,-69
-256,-392,15709,511,577,-69
-256,-392,15708,511,576,-70
-256,-395,15707,511,575,-69
-256,-390,15708,511,575,-68
-256,-387,15708,511,575,-68
-256,-387,15710,511,577,-69
-256,-388,15711,511,576,-70
-256,-387,15710,511,576,-71
-256,-387,15710,511,576,-71
-256,-389,15713,511,576,-70
-256,-390,15712,511,575,-69
-256,-388,15712,511,575,-69
-256,-388,15714,511,575,-70
-256,-389,15718,511,575,-71
-256,-389,15717,511,576,-71
-256,-392,15720,511,575,-72
-256,-393,15719,511,575,-73
-256,-396,15719,511,575,-71
-256,-396,15721,511,573,-70
-256,-396,15720,511,573,-69
-256,-396,15722,511,573,-71
-256,-392,15723,511,573,-73
-256,-390,15723,511,573,-74
-256,-392,15722,511,573,-73
-256,-393,15720,511,574,-72
