Ax,Ay,Az,Gx,Gy,Gz
0,-608,15864,255,758,-98
0,-352,15640,255,1194,-494
0,-384,15936,256,732,-476
255,-360,15680,511,818,-410
255,-368,15656,511,650,-466
0,-360,15632,511,294,-392
255,-368,15656,255,982,-330
255,-624,16120,256,374,-64
255,-256,3968,511,866,426
0,-232,3928,511,112,140
0,-248,3968,255,1008,188
0,-248,3952,256,594,-146
-1,-16,4032,256,970,-158
0,-232,3960,256,530,164
255,-232,3984,0,980,-222
0,-240,3992,256,816,-216
0,-216,3960,256,870,28
255,-224,3984,256,778,-424
0,-232,3976,255,954,202
0,-200,3968,511,552,-658
255,-200,3984,256,358,-8
0,-200,3976,0,470,108
255,-208,3968,256,682,234
0,-208,3960,256,624,-88
255,-208,3976,256,694,510
0,-216,3952,256,694,308
255,-224,3952,256,2,110
0,-208,3968,256,1276,-72
0,-216,3928,256,590,-472
255,-216,3976,256,850,-494
0,-256,3984,511,344,-20
0,-168,7704,511,562,-732
255,-160,8016,0,924,-264
0,-456,7912,511,610,70
255,-424,7912,511,1006,348
255,-168,7712,511,580,-630
255,-160,7696,511,1148,-488
-1,-16,7696,255,686,124
0,-208,7736,511,156,146
255,-152,7976,256,578,-16
255,-152,7968,256,588,-378
255,-208,7720,511,576,-732
255,-152,7688,255,702,-316
0,-184,7704,511,618,-278
0,-168,7936,0,954,-732
255,-200,7696,255,938,-674
0,-200,7736,511,644,-284
255,-184,7680,511,660,-268
0,-200,7704,511,860,-508
0,-168,7688,511,402,-110
255,-160,7976,256,776,122
0,-192,7976,256,834,-382
255,-192,7960,0,722,-34
0,-392,12016,255,700,-502
0,-392,11952,256,918,-216
0,-472,11904,256,800,-420
255,-440,11848,511,794,-342
0,-376,11896,256,616,-204
0,-408,11896,511,832,-390
0,-384,11944,511,540,110
0,-376,11952,256,286,374
255,-352,11904,256,854,94
255,-416,11952,255,742,-22
0,-360,11952,511,658,-336
255,-88,11776,0,482,-346
255,-392,11992,511,1222,-336
255,-432,11992,256,450,-524
255,-352,11952,255,880,-288
0,-408,11912,512,836,-492
255,-408,11968,256,532,22
0,-432,11672,511,1212,54
0,-368,11928,0,468,-74
255,-416,11912,511,1004,-406
255,-376,11952,255,1012,-442
255,-416,11920,511,310,-186
255,-384,11888,0,710,-22
255,-368,11912,256,510,-164
0,-416,11920,256,888,-324
255,-416,11832,256,874,-400
255,-376,11960,0,490,-390
255,-400,11888,256,874,-296
255,-424,12000,255,940,20
0,-416,11952,511,708,566
0,-472,11856,255,902,732
255,-424,11880,255,430,22
255,-360,11920,511,792,-162
255,-272,11976,256,614,-26
255,-352,11928,256,30,-302
