Ax,Ay,Az,Gx,Gy,Gz
-256,-371,15710,511,577,-85
-256,-369,15970,256,578,-83
-256,-369,15968,256,580,-84
-256,-372,15963,256,578,-85
-256,-369,15965,256,577,-83
-256,-368,15706,511,577,-83
-256,-371,15710,511,577,-84
-256,-371,15717,511,579,-82
-256,-371,15718,511,580,-83
-256,-375,15975,256,579,-81
-256,-378,15967,256,579,-81
-256,-380,15973,256,577,-79
-256,-383,15970,256,576,-79
-256,-389,15970,256,577,-82
-256,-387,15972,256,578,-81
-256,-384,15709,511,580,-81
-256,-388,15709,511,581,-81
-256,-384,15700,511,580,-79
-256,-379,15699,511,581,-77
-256,-373,15706,511,581,-78
-256,-375,15708,511,579,-79
-256,-387,15703,511,576,-80
-256,-394,15696,511,578,-77
-256,-396,15694,511,581,-79
-256,-397,15693,511,577,-84
-256,-396,15700,511,575,-83
-256,-397,15955,256,573,-82
-256,-401,15695,511,572,-84
-256,-397,15696,511,572,-84
-256,-395,15701,511,575,-82
-256,-395,15703,511,577,-81
-256,-394,15705,511,577,-77
-256,-393,15705,511,578,-75
-256,-399,15699,511,577,-75
-256,-401,15702,511,578,-72
-256,-404,15698,511,576,-74
-256,-403,15695,511,575,-76
-256,-406,15696,511,577,-75
-256,-405,15703,511,576,-76
-256,-400,15711,511,575,-76
-256,-399,15711,511,575,-76
-256,-396,15717,511,575,-78
-256,-396,15715,511,575,-77
-256,-396,15709,511,577,-77
-256,-392,15709,511,576,-77
-256,-388,15710,511,577,-78
-256,-395,15708,511,576,-77
-256,-390,15709,511,576,-76
-256,-392,15712,511,576,-78
-256,-398,15717,511,577,-84
-256,-402,15718,511,576,-83
-256,-403,15717,511,576,-83
-256,-405,15718,511,579,-82
-256,-402,15975,256,578,-81
-256,-396,15978,256,576,-79
-256,-398,15728,511,576,-81
-256,-401,15729,511,576,-80
-256,-404,15729,511,578,-80
-256,-401,15728,511,579,-78
-256,-398,15736,511,579,-79
-256,-398,15734,511,579,-79
-256,-399,15732,511,578,-79
-256,-403,15732,511,578,-80
-256,-402,15727,511,582,-77
-256,-405,15723,511,583,-75
-256,-405,15717,511,584,-78
-256,-396,15718,511,584,-79
-256,-391,15720,511,584,-77
-256,-391,15718,511,583,-77
-256,-386,15976,256,583,-78
-256,-391,15721,511,580,-77
-256,-393,15722,511,579,-76
-256,-394,15721,511,578,-75
-256,-396,15718,511,578,-75
-256,-401,15720,511,579,-76
-256,-400,15716,511,578,-75
-256,-403,15717,511,577,-72
-256,-405,15723,511,575,-71
-256,-409,15724,511,574,-71
-256,-405,15728,511,576,-73
-256,-403,15729,511,579,-73
-256,-402,15723,511,579,-73
-256,-404,15721,511,577,-75
-256,-406,15717,511,578,-76
-256,-404,15714,511,577,-77
-256,-401,15708,511,576,-77
-256,-404,15712,511,574,-78
-256,-401,15713,511,574,-77
-256,-401,15710,511,573,-76
-256,-404,15716,511,573,-76
-256,-404,15715,511,573,-76
