Ax,Ay,Az,Gx,Gy,Gz
0,-361,15645,511,576,-93
0,-372,15641,511,578,-97
0,-380,15896,256,574,-100
0,-367,15647,511,574,-105
0,-360,15649,511,578,-96
0,-354,15661,511,580,-99
0,-349,15671,511,575,-105
0,-352,15671,511,580,-93
0,-343,15654,511,577,-82
0,-360,15643,511,575,-76
0,-367,15671,511,573,-72
0,-372,15662,511,581,-79
0,-379,15662,511,577,-89
0,-365,15662,511,576,-95
0,-370,15669,511,579,-97
0,-324,15652,511,572,-98
0,-315,15666,511,586,-100
0,-332,15661,511,583,-107
0,-352,15662,511,571,-100
0,-346,15664,511,568,-94
0,-348,15660,511,567,-104
0,-356,15651,511,565,-103
0,-351,15643,511,578,-97
0,-350,15641,511,580,-99
0,-337,15895,256,583,-107
0,-330,15911,256,588,-102
0,-332,15679,511,584,-99
0,-354,15656,511,575,-100
0,-378,15659,511,586,-103
0,-369,15666,511,588,-111
0,-372,15654,511,576,-105
0,-353,15668,511,571,-97
0,-349,15936,256,563,-98
0,-353,15967,256,557,-95
0,-345,15986,256,561,-94
0,-339,15983,256,571,-107
0,-346,15688,511,571,-109
0,-359,15686,511,568,-100
0,-351,15693,511,575,-106
0,-346,15694,511,579,-111
0,-367,15665,511,582,-106
0,-386,15672,511,583,-99
0,-400,15675,511,577,-93
0,-385,15666,511,579,-99
0,-353,15654,511,575,-104
0,-349,15653,511,569,-100
0,-349,15639,511,561,-101
0,-362,15638,511,570,-106
0,-339,15639,511,574,-102
0,-332,15662,511,572,-96
0,-330,15657,511,588,-88
0,-357,15671,511,583,-91
0,-366,15671,511,575,-92
0,-361,15921,256,576,-93
0,-376,15943,256,569,-91
0,-376,15698,511,569,-91
0,-377,15693,511,574,-96
0,-362,15684,511,574,-97
0,-368,15671,511,570,-109
0,-338,15919,256,571,-105
0,-330,15678,511,565,-98
0,-336,15917,256,573,-107
0,-333,15664,511,578,-108
0,-348,15659,511,582,-101
0,-346,15908,256,585,-90
0,-364,15899,256,582,-91
0,-349,15914,256,571,-86
0,-355,15632,511,571,-96
0,-374,15654,511,567,-105
0,-375,15928,256,573,-93
0,-358,15669,511,571,-92
0,-331,15679,511,572,-88
0,-367,15681,511,573,-92
0,-391,15954,256,574,-96
0,-378,15951,256,580,-90
0,-355,15935,256,575,-94
0,-361,15950,256,570,-92
0,-363,15686,511,577,-93
0,-389,15669,511,575,-94
0,-386,15646,511,568,-89
0,-383,15643,511,575,-89
0,-373,15912,256,565,-88
0,-347,15911,256,562,-91
0,-364,15906,256,572,-95
0,-362,15657,511,579,-101
0,-359,15674,511,576,-94
0,-356,15927,256,578,-93
0,-348,15918,256,569,-91
0,-339,15649,511,567,-94
0,-356,15673,511,558,-90
0,-378,15916,256,568,-99
0,-397,15903,256,578,-101
0,-384,15654,511,576,-105
0,-371,15675,511,575,-107
0,-369,15914,256,575,-99
0,-369,15689,511,578,-87
0,-370,15703,511,581,-90
0,-340,15711,511,582,-92
0,-353,15681,511,575,-93
0,-365,15687,511,570,-91
0,-360,15679,511,581,-91
0,-352,15663,511,576,-90
0,-339,15661,511,577,-87
0,-355,15648,511,567,-90
0,-346,15626,511,567,-93
0,-357,15633,511,569,-91
0,-374,15644,511,569,-101
0,-365,15670,511,564,-103
0,-350,15660,511,566,-107
0,-361,15640,511,574,-104
0,-379,15641,511,578,-99
0,-361,15636,511,580,-100
0,-358,15638,511,572,-95
0,-351,15665,511,570,-90
0,-344,15923,256,574,-99
0,-338,15926,256,573,-114
0,-348,15939,256,581,-104
0,-339,15928,256,579,-102
0,-343,15896,256,578,-100
0,-346,15928,256,586,-95
0,-358,15929,256,586,-91
0,-355,15656,511,583,-81
0,-358,15653,511,576,-91
0,-379,15668,511,568,-96
0,-383,15659,511,567,-97
0,-358,15628,511,571,-102
0,-355,15647,511,568,-101
0,-371,15668,511,582,-93
0,-381,15649,511,589,-95
0,-391,15662,511,584,-99
0,-383,15934,256,581,-94
0,-351,15951,256,589,-90
0,-328,15677,511,588,-92
0,-333,15916,256,587,-99
0,-347,15690,511,583,-93
0,-359,15686,511,582,-94
0,-353,15677,511,588,-99
0,-343,15924,256,582,-96
0,-349,15651,511,580,-89
0,-361,15667,511,574,-92
0,-357,15922,256,583,-103
0,-363,15933,256,576,-107
0,-370,15671,511,574,-100
0,-347,15686,511,574,-88
0,-368,15691,511,567,-95
0,-387,15674,511,568,-96
0,-361,15676,511,578,-106
0,-371,15662,511,574,-107
0,-353,15635,511,575,-102
0,-357,15904,256,583,-107
0,-356,15627,511,586,-101
0,-361,15648,511,585,-102
0,-360,15663,511,581,-103
0,-358,15922,256,588,-103
0,-355,15931,256,583,-97
0,-376,15660,511,574,-96
0,-387,15902,256,572,-95
0,-388,15903,256,568,-103
0,-364,15897,256,570,-96
0,-346,15633,511,580,-97
0,-349,15642,511,581,-108
0,-352,15896,256,582,-114
0,-359,15924,256,587,-101
0,-367,15655,511,572,-96
0,-349,15652,511,560,-106
0,-356,15658,511,574,-102
0,-373,15656,511,590,-94
0,-361,15661,511,592,-92
0,-380,15654,511,587,-97
0,-353,15922,256,578,-90
0,-370,15916,256,582,-89
0,-380,15649,511,579,-95
0,-388,15647,511,576,-95
0,-380,15649,511,576,-94
0,-367,15906,256,570,-101
0,-348,15646,511,566,-104
0,-345,15906,256,565,-98
0,-326,15915,256,567,-89
0,-336,15682,511,570,-86
0,-354,15676,511,573,-92
0,-357,15659,511,578,-99
0,-360,15662,511,575,-102
0,-358,15884,256,562,-106
0,-382,15626,511,565,-99
0,-351,15638,511,569,-96
0,-345,15664,511,573,-93
0,-347,15665,511,572,-99
0,-338,15678,511,571,-96
0,-342,15674,511,570,-93
0,-340,15686,511,571,-102
0,-364,15689,511,577,-93
0,-366,15683,511,580,-93
0,-375,15677,511,580,-96
0,-359,15674,511,581,-102
0,-365,15644,511,579,-95
0,-365,15646,511,577,-93
0,-373,15642,511,570,-98
0,-383,15659,511,569,-82
0,-368,15642,511,579,-90
0,-365,15631,511,579,-85
0,-369,15647,511,576,-91
0,-354,15655,511,576,-96
0,-340,15926,256,571,-92
0,-339,15919,256,573,-94
0,-334,15664,511,570,-89
0,-353,15687,511,566,-85
0,-388,15700,511,568,-90
0,-387,15670,511,568,-102
0,-386,15684,511,566,-107
0,-362,15674,511,573,-100
0,-353,15929,256,578,-88
0,-364,15923,256,573,-86
0,-371,15666,511,571,-89
0,-381,15655,511,576,-89
0,-368,15654,511,579,-93
0,-362,15935,256,578,-96
0,-362,15685,511,582,-100
0,-349,15690,511,584,-98
0,-359,15689,511,574,-101
0,-369,15701,511,569,-109
0,-354,15674,511,574,-105
0,-375,15667,511,583,-93
0,-369,15664,511,583,-94
0,-368,15667,511,572,-97
0,-372,15666,511,578,-103
0,-361,15920,256,576,-103
0,-342,15639,511,574,-98
0,-341,15628,511,569,-100
0,-361,15890,256,565,-96
0,-347,15912,256,571,-102
0,-349,15659,511,573,-90
0,-357,15661,511,571,-87
0,-359,15649,511,576,-90
0,-376,15658,511,576,-88
0,-364,15668,511,577,-78
0,-373,15675,511,578,-79
0,-378,15946,256,577,-81
0,-382,15943,256,575,-85
0,-383,15934,256,567,-93
0,-360,15933,256,568,-89
0,-325,15935,256,575,-90
0,-335,15937,256,580,-95
0,-347,15913,256,569,-93
0,-381,15914,256,570,-96
0,-358,15678,511,572,-99
0,-365,15666,511,572,-97
0,-339,15637,511,581,-87
0,-328,15636,511,576,-94
0,-351,15648,511,579,-99
0,-387,15644,511,575,-97
0,-387,15660,511,573,-91
0,-391,15674,511,577,-96
0,-379,15657,511,576,-106
0,-396,15635,511,579,-111
0,-390,15631,511,571,-108
0,-366,15656,511,570,-104
0,-340,15653,511,569,-90
0,-339,15645,511,567,-90
0,-364,15672,511,574,-101
0,-366,15656,511,576,-98
0,-371,15664,511,575,-92
0,-360,15673,511,578,-92
0,-364,15933,256,574,-94
0,-354,15696,511,579,-86
0,-352,15943,256,582,-80
0,-361,15930,256,575,-86
0,-387,15678,511,574,-92
0,-378,15679,511,577,-92
0,-380,15648,511,565,-92
0,-392,15642,511,562,-93
0,-400,15653,511,575,-91
0,-372,15662,511,574,-93
255,-366,15671,511,566,-95
255,-369,15664,511,570,-89
0,-357,15659,511,573,-91
0,-370,15920,256,575,-87
0,-368,15927,256,573,-100
0,-351,15686,511,581,-95
0,-349,15965,256,572,-91
0,-351,15946,256,575,-93
0,-343,15674,511,580,-86
0,-338,15686,511,571,-97
0,-364,15668,511,571,-91
0,-377,15645,511,572,-95
0,-389,15638,511,571,-100
0,-394,15651,511,570,-99
0,-379,15656,511,575,-91
0,-379,15661,511,572,-94
0,-374,15682,511,564,-104
0,-370,15689,511,568,-101
0,-363,15948,256,572,-116
0,-341,15928,256,574,-108
0,-330,15931,256,575,-88
0,-339,15667,511,582,-89
0,-343,15644,511,578,-104
0,-354,15639,511,568,-95
0,-335,15645,511,567,-97
0,-347,15920,256,570,-94
0,-345,15932,256,572,-94
0,-374,15910,256,577,-89
0,-385,15921,256,576,-89
0,-383,15918,256,581,-101
0,-372,15918,256,584,-98
0,-365,15907,256,578,-96
0,-359,15635,511,564,-103
0,-389,15635,511,569,-104
0,-644,15863,511,574,-102
0,-370,15624,511,563,-102
0,-340,15896,256,559,-111
0,-351,15645,511,566,-98
0,-351,15656,511,569,-94
0,-365,15657,511,567,-95
0,-347,15645,511,571,-96
0,-339,15665,511,568,-94
0,-351,15666,511,568,-93
0,-358,15654,511,571,-90
0,-355,15660,511,576,-91
0,-357,15679,511,575,-97
0,-363,15683,511,576,-100
0,-386,15647,511,577,-102
0,-377,15643,511,578,-104
0,-363,15657,511,582,-97
0,-364,15690,511,579,-91
0,-355,15687,511,578,-101
0,-368,15937,256,578,-101
0,-367,15691,511,583,-106
0,-341,15683,511,579,-108
0,-354,15703,511,573,-97
0,-353,15680,511,567,-85
0,-363,15915,256,573,-91
0,-361,15646,511,573,-92
0,-378,15645,511,568,-96
0,-368,15660,511,567,-96
0,-366,15678,511,565,-104
0,-352,15672,511,561,-106
0,-351,15670,511,561,-104
0,-364,15645,511,560,-101
0,-377,15657,511,565,-106
0,-385,15640,511,556,-97
0,-373,15654,511,548,-91
0,-388,15917,256,554,-92
0,-377,15679,511,554,-91
0,-371,15928,256,562,-87
0,-360,15935,256,573,-89
0,-361,15939,256,570,-82
0,-375,15915,256,571,-84
0,-364,15644,511,580,-95
0,-368,15644,511,580,-94
0,-369,15650,511,581,-96
0,-349,15651,511,581,-95
0,-343,15645,511,580,-101
0,-339,15658,511,580,-96
0,-338,15658,511,582,-97
0,-337,15681,511,586,-99
0,-332,15672,511,584,-89
0,-349,15688,511,586,-90
0,-351,15945,256,587,-87
0,-379,15930,256,589,-93
0,-379,15694,511,587,-101
0,-378,15704,511,577,-110
0,-401,15680,511,564,-100
0,-404,15663,511,562,-98
0,-372,15916,256,564,-106
0,-378,15892,256,564,-104
0,-362,15616,511,570,-94
0,-341,15623,511,574,-88
0,-346,15894,256,573,-88
0,-342,15653,511,576,-77
0,-359,15669,511,565,-73
0,-372,15651,511,561,-83
0,-357,15662,511,565,-86
0,-371,15644,511,567,-94
0,-366,15647,511,572,-93
0,-362,15668,511,573,-94
0,-375,15677,511,580,-101
0,-366,15676,511,575,-95
0,-360,15659,511,575,-85
0,-364,15623,511,574,-82
0,-344,15628,511,573,-96
0,-357,15645,511,590,-90
0,-352,15642,511,581,-77
0,-320,15654,511,572,-75
0,-328,15646,511,578,-78
0,-331,15643,511,573,-92
0,-340,15654,511,571,-80
0,-346,15680,511,578,-79
0,-345,15686,511,583,-87
0,-351,15681,511,585,-90
0,-353,15677,511,580,-98
0,-372,15681,511,583,-87
0,-376,15658,511,581,-94
0,-357,15658,511,579,-87
0,-343,15678,511,578,-99
0,-350,15703,511,573,-101
0,-357,15689,511,573,-92
0,-342,15682,511,566,-85
0,-359,15926,256,564,-83
0,-387,15691,511,566,-89
0,-397,15932,256,571,-88
0,-366,15921,256,576,-83
0,-371,15663,511,574,-84
0,-367,15928,256,568,-75
0,-384,15663,511,569,-85
0,-378,15655,511,568,-100
0,-378,15660,511,573,-102
0,-390,15660,511,578,-104
0,-367,15678,511,578,-100
0,-358,15928,256,567,-95
0,-366,15666,511,572,-95
0,-362,15655,511,573,-97
0,-363,15641,511,574,-103
0,-384,15652,511,576,-103
0,-381,15647,511,580,-100
0,-366,15636,511,571,-102
0,-353,15640,511,578,-98
0,-339,15643,511,572,-89
0,-332,15647,511,578,-91
0,-344,15636,511,574,-99
0,-322,15650,511,564,-90
0,-341,15662,511,558,-94
0,-355,15637,511,564,-99
0,-344,15636,511,573,-94
0,-346,15640,511,575,-91
0,-340,15913,256,578,-90
0,-347,15899,256,585,-94
0,-358,15910,256,573,-94
0,-351,15914,256,573,-98
0,-337,15927,256,580,-108
0,-338,15942,256,585,-100
0,-353,15920,256,574,-101
0,-358,15659,511,565,-107
0,-371,15667,511,564,-105
0,-393,15663,511,570,-107
0,-387,15660,511,578,-103
0,-375,15651,511,578,-106
0,-375,15674,511,580,-113
0,-353,15691,511,575,-106
0,-379,15652,511,574,-98
0,-380,15648,511,575,-97
0,-382,15882,256,575,-91
0,-360,15629,511,578,-91
0,-375,15649,511,574,-93
0,-361,15650,511,578,-87
0,-367,15663,511,581,-89
0,-368,15647,511,573,-89
0,-371,15665,511,569,-100
0,-360,15675,511,568,-99
0,-372,15689,511,568,-99
0,-367,15671,511,573,-98
0,-342,15671,511,571,-95
0,-317,15666,511,582,-87
0,-340,15652,511,581,-90
0,-344,15628,511,574,-92
0,-346,15647,511,579,-89
0,-345,15658,511,579,-94
0,-339,15645,511,573,-92
0,-377,15916,256,562,-90
0,-373,15642,511,574,-92
0,-380,15643,511,568,-91
0,-385,15646,511,575,-99
0,-378,15661,511,581,-100
0,-362,15686,511,584,-94
0,-341,15654,511,590,-94
0,-359,15660,511,582,-92
0,-340,15671,511,581,-87
0,-351,15681,511,579,-86
0,-358,15678,511,572,-91
0,-360,15641,511,568,-92
0,-359,15917,256,562,-95
0,-380,15911,256,571,-96
0,-375,15901,256,571,-99
0,-361,15908,256,566,-102
0,-354,15904,256,566,-94
0,-353,15905,256,570,-94
0,-357,15897,256,577,-99
0,-344,15643,511,583,-108
0,-363,15666,511,584,-105
0,-370,15921,256,580,-100
0,-348,15668,511,578,-100
0,-351,15659,511,577,-80
0,-331,15655,511,570,-88
0,-360,15657,511,578,-89
0,-394,15655,511,576,-92
0,-395,15663,511,572,-101
0,-360,15657,511,580,-96
0,-348,15651,511,576,-95
0,-331,15651,511,567,-97
0,-343,15905,256,571,-96
0,-362,15633,511,572,-101
0,-346,15637,511,576,-105
0,-324,15645,511,577,-107
0,-345,15636,511,574,-104
0,-342,15652,511,579,-95
0,-328,15909,256,575,-104
0,-346,15667,511,575,-102
0,-352,15920,256,582,-101
0,-363,15922,256,578,-97
0,-386,15927,256,580,-92
0,-393,15918,256,575,-89
0,-390,15929,256,572,-95
0,-370,15668,511,584,-94
0,-348,15681,511,585,-85
0,-330,15684,511,582,-85
0,-344,15699,511,573,-92
0,-345,15944,256,573,-98
0,-359,15939,256,577,-98
0,-372,15679,511,581,-94
0,-341,15687,511,587,-107
0,-365,15686,511,584,-99
0,-373,15933,256,594,-99
0,-359,15671,511,591,-100
0,-357,15675,511,593,-94
0,-367,15677,511,584,-95
0,-358,15663,511,578,-94
0,-347,15665,511,578,-93
0,-352,15637,511,580,-102
0,-368,15653,511,579,-93
0,-375,15664,511,577,-84
0,-342,15916,256,575,-82
0,-355,15898,256,577,-83
0,-350,15923,256,579,-91
0,-355,15667,511,572,-95
0,-363,15675,511,577,-85
0,-367,15684,511,570,-85
0,-355,15685,511,564,-95
0,-347,15681,511,573,-94
0,-348,15675,511,571,-99
0,-362,15679,511,572,-94
0,-334,15659,511,578,-89
0,-356,15649,511,578,-85
