Ax,Ay,Az,Gx,Gy,Gz
0,-316,15956,256,557,-78
0,-344,15640,511,576,-71
0,-592,16100,256,571,-95
0,-332,15944,256,560,-93
0,-336,15664,511,596,-79
0,-616,15848,511,573,-88
0,-336,15888,256,566,-107
0,-372,15708,511,576,-132
0,-316,15700,511,560,-98
0,-316,15972,256,571,-59
0,-372,15916,256,562,-94
255,-404,15668,511,558,-118
0,-420,15932,256,566,-98
0,-316,15684,511,596,-138
0,-376,15992,256,548,-110
0,-304,15708,511,581,-119
0,-300,15688,511,564,-99
0,-352,15624,511,604,-111
0,-308,15656,511,584,-71
0,-344,15624,511,577,-99
255,-396,15924,256,599,-115
0,-376,15892,256,560,-124
0,-364,15928,256,583,-94
0,-640,16108,256,575,-99
0,-316,15896,256,567,-117
0,-312,15672,511,609,-102
0,-340,15660,511,566,-102
0,-360,15924,256,575,-104
0,-376,15632,511,579,-106
0,-320,15916,256,576,-84
0,-376,15660,511,557,-100
0,-416,15624,511,583,-62
0,-356,15912,256,576,-91
0,-388,15620,511,588,-99
0,-344,15916,256,588,-98
0,-308,15624,511,561,-91
0,-384,15880,256,587,-85
0,-376,15696,511,569,-95
0,-356,15988,256,530,-129
255,-340,15652,511,579,-73
0,-660,15864,511,582,-76
0,-368,15672,511,590,-79
0,-404,15912,256,572,-125
0,-340,15928,256,554,-83
255,-440,15960,256,584,-99
0,-352,15628,511,571,-124
255,-636,15868,511,576,-74
0,-380,15640,511,574,-107
0,-372,15928,256,559,-104
0,-352,15960,256,570,-96
0,-416,15620,511,574,-123
0,-388,15652,511,581,-77
0,-376,15900,256,560,-83
0,-344,15620,511,585,-90
0,-344,15892,256,546,-97
255,-352,15896,256,568,-91
0,-588,16124,256,598,-109
0,-380,15640,511,569,-101
0,-384,15720,511,547,-61
0,-340,15704,511,561,-111
0,-368,15932,256,605,-92
0,-472,15972,256,545,-90
0,-364,15648,511,566,-87
0,-400,15676,511,580,-111
0,-376,15664,511,589,-94
0,-360,15680,511,578,-72
0,-368,15920,256,560,-117
0,-544,16120,256,579,-89
0,-660,16120,256,579,-118
0,-360,15640,511,584,-69
0,-424,15676,511,575,-100
0,-320,15664,511,574,-88
0,-324,15664,511,555,-119
0,-660,16124,256,536,-73
0,-568,16124,256,597,-97
0,-328,15976,256,563,-88
0,-376,15684,511,570,-94
0,-392,15688,511,576,-120
0,-340,15640,511,594,-99
0,-364,15624,511,572,-81
255,-384,15936,256,560,-99
0,-424,15924,256,567,-103
0,-356,15652,511,583,-98
0,-344,15712,511,558,-108
0,-392,15896,256,591,-110
0,-340,15676,511,583,-107
0,-376,15704,511,552,-117
0,-644,15868,511,578,-78
