Ax,Ay,Az,Gx,Gy,Gz
-256,-389,15717,511,589,-61
-256,-386,15950,256,589,-73
-256,-377,15689,511,574,-93
-256,-376,15696,511,581,-88
-256,-401,15708,511,579,-88
-256,-450,15758,511,574,-82
-256,-413,15758,511,569,-60
-256,-408,15696,511,559,-73
-256,-368,15952,256,563,-73
-256,-372,15964,256,573,-77
-256,-397,15966,256,577,-84
-256,-414,15717,511,583,-73
-256,-331,15727,511,582,-81
-256,-385,15726,511,566,-83
-256,-364,15695,511,559,-79
-256,-367,15703,511,589,-94
-256,-392,15968,256,571,-76
-256,-400,15719,511,558,-82
-256,-384,15694,511,568,-77
-256,-387,15707,511,570,-76
-256,-366,15725,511,576,-83
-256,-412,15735,511,562,-70
-256,-411,15992,256,569,-59
-256,-411,16025,256,570,-67
-256,-396,15990,256,571,-73
-256,-384,15703,511,571,-83
-256,-427,16017,256,570,-75
-256,-410,16038,256,555,-89
-256,-395,15753,511,566,-101
-256,-396,15766,511,572,-87
-256,-392,15733,511,568,-70
-256,-400,15744,511,583,-59
-256,-379,15693,256,576,-69
-256,-414,15706,511,566,-75
-256,-391,15722,511,586,-75
-256,-385,15706,511,582,-82
-256,-400,15982,256,577,-76
-256,-404,15689,256,582,-87
-256,-456,15691,511,575,-73
-256,-426,15717,511,589,-78
-256,-407,15727,511,584,-77
-256,-436,15708,511,571,-66
-256,-407,15987,256,574,-78
-256,-394,15748,511,595,-75
-256,-368,15730,511,594,-66
-256,-372,15722,511,576,-76
-256,-383,15735,511,575,-72
-256,-391,15972,256,576,-83
-256,-418,15727,511,573,-86
-256,-432,15726,511,577,-64
-256,-434,15736,511,581,-74
-256,-404,15708,511,570,-76
-256,-399,15703,511,573,-83
-256,-421,15684,511,583,-88
-256,-399,15717,511,582,-85
-256,-382,15761,511,580,-63
-256,-394,15709,511,580,-56
-256,-413,15721,511,579,-71
-256,-399,15962,256,575,-71
-256,-393,15960,256,581,-80
-256,-405,15686,511,581,-79
-256,-401,15678,511,579,-69
-256,-416,15703,511,585,-67
-256,-450,15711,511,568,-61
-256,-413,15726,511,585,-61
-256,-397,15757,511,588,-84
-256,-366,15959,256,600,-77
-256,-379,15690,511,593,-68
-256,-400,15705,511,570,-80
-256,-430,15985,256,576,-83
-256,-389,15705,511,581,-65
-256,-402,15736,511,574,-65
-256,-406,15987,256,567,-79
-256,-366,15741,511,574,-74
-256,-358,15722,511,581,-88
-256,-390,15957,256,584,-88
-256,-349,15678,511,586,-86
-256,-414,15962,256,585,-76
-256,-421,15740,511,591,-82
-256,-442,15735,511,592,-75
-256,-448,15734,511,565,-93
-256,-407,15681,511,570,-103
-256,-426,15629,511,573,-98
-256,-437,15734,511,587,-88
-256,-398,15731,511,583,-78
-256,-379,15724,511,588,-69
-256,-373,15719,511,595,-66
-256,-381,15721,511,579,-73
-256,-384,15689,511,561,-86
-256,-362,15697,511,578,-94
-256,-396,15938,256,599,-89
-256,-393,15694,511,572,-85
-256,-394,15735,511,581,-94
-256,-407,15697,511,576,-71
-256,-429,15701,511,580,-99
-256,-424,15955,256,583,-89
-256,-451,15724,511,574,-77
-256,-427,15744,511,580,-57
-256,-411,15983,256,590,-67
-256,-420,15988,256,581,-67
-256,-420,15741,511,576,-78
-256,-404,15941,256,576,-74
-256,-443,15722,511,573,-76
-256,-393,15680,511,570,-75
-256,-366,15704,511,574,-63
-256,-418,15705,511,576,-61
-256,-370,15681,511,571,-63
-256,-358,15959,256,573,-78
-256,-357,15713,511,574,-87
-256,-406,16002,256,578,-87
-256,-414,15720,511,578,-81
-256,-397,15697,511,577,-90
-256,-416,15701,511,584,-82
-256,-391,15732,511,575,-79
-256,-395,15990,256,576,-66
-256,-326,15752,511,579,-82
-256,-345,15757,511,576,-67
-256,-400,15754,511,573,-54
-256,-371,15734,511,584,-81
-256,-379,15689,511,575,-76
-256,-377,15731,511,578,-74
-256,-404,15729,511,584,-59
-256,-376,15710,511,582,-69
-256,-380,15682,511,584,-80
-256,-390,15650,511,596,-75
-256,-399,15692,511,589,-78
-256,-421,15712,511,574,-58
-256,-411,15713,511,567,-65
-256,-408,15751,511,573,-79
-256,-406,15963,256,577,-71
-256,-344,15985,256,568,-83
-256,-379,15700,511,573,-83
-256,-393,15954,256,592,-79
-256,-394,15734,511,574,-74
-256,-380,15698,511,580,-79
-256,-447,15698,511,594,-76
-256,-437,15939,256,572,-64
-256,-383,15963,256,566,-72
-256,-387,15972,256,579,-84
-256,-443,15700,511,596,-91
-256,-441,15728,511,607,-85
-256,-416,15733,511,611,-86
-256,-380,15758,511,600,-72
-256,-398,15764,511,597,-73
-256,-422,15718,511,589,-80
-256,-410,15970,256,577,-82
-256,-405,15713,511,574,-75
-256,-376,15710,511,580,-73
-256,-436,15719,511,573,-68
-256,-402,15711,511,577,-80
-256,-388,15735,511,581,-67
-256,-379,15711,511,584,-65
-256,-382,15676,511,593,-75
-256,-392,15716,511,595,-71
-256,-345,15747,511,591,-79
-256,-377,15725,511,585,-96
-256,-378,15747,511,575,-87
-256,-456,15685,511,570,-97
-256,-412,15683,511,567,-91
-256,-399,15983,256,588,-77
-256,-415,15721,511,587,-74
-256,-374,15958,256,579,-96
-256,-373,15719,511,574,-77
-256,-388,15757,511,573,-75
-256,-442,15750,511,576,-76
-256,-431,15712,511,572,-81
-256,-464,15964,256,565,-79
-256,-423,15957,256,549,-78
-256,-358,15714,511,570,-75
-256,-413,15981,256,586,-73
-256,-406,15704,511,575,-78
-256,-379,15691,511,583,-76
-256,-378,15679,511,586,-76
-256,-373,15665,511,568,-83
-256,-379,15661,511,573,-80
-256,-413,15722,511,571,-66
-256,-332,15712,511,570,-67
-256,-363,15936,256,567,-72
-256,-346,15967,256,563,-79
-256,-359,15698,511,584,-65
-256,-396,15711,511,585,-67
-256,-355,15738,511,587,-65
-256,-338,15703,511,579,-61
-256,-374,15672,511,574,-77
-256,-355,15712,511,571,-61
-256,-358,15767,511,581,-79
-256,-361,15746,511,575,-73
