Ax,Ay,Az,Gx,Gy,Gz
-256,-406,15710,511,574,-72
-256,-384,15707,511,580,-72
-256,-381,15707,511,584,-82
-256,-392,15955,256,585,-80
-256,-393,15708,511,585,-82
-256,-398,15711,511,582,-85
-256,-394,15719,511,583,-79
-256,-393,15719,511,586,-80
-256,-390,15719,511,584,-81
-256,-390,15707,511,580,-75
-256,-384,15696,511,582,-70
-256,-389,15698,511,584,-72
-256,-392,15700,511,582,-72
-256,-395,15712,511,581,-76
-256,-399,15724,511,572,-71
-256,-396,15716,511,573,-67
-256,-400,15717,511,571,-71
-256,-403,15722,511,573,-71
-256,-408,15731,511,575,-67
-256,-408,15739,511,573,-65
-256,-398,15740,511,575,-67
-256,-394,15724,511,570,-64
-256,-399,15714,511,569,-64
-256,-396,15711,511,568,-65
-256,-398,15711,511,569,-63
-256,-394,15718,511,573,-69
-256,-390,15989,256,569,-75
-256,-388,15996,256,569,-81
-256,-386,15739,511,573,-80
-256,-383,15735,511,573,-79
-256,-387,15727,511,571,-78
-256,-391,15719,511,569,-77
-256,-397,15715,511,574,-78
-256,-399,15715,511,576,-76
-256,-406,15716,511,573,-74
-256,-411,15710,511,570,-72
-256,-401,15704,511,569,-73
-256,-401,15706,511,578,-71
-256,-394,15703,511,579,-75
-256,-401,15707,511,580,-73
-256,-396,15717,511,582,-73
-256,-389,15725,511,584,-76
-256,-385,15719,511,583,-77
-256,-395,15725,511,580,-76
-256,-404,15728,511,577,-73
-256,-410,15730,511,575,-74
-256,-409,15728,511,574,-72
-256,-397,15737,511,572,-67
-256,-385,15729,511,573,-71
-256,-372,15724,511,570,-71
-256,-381,15735,511,570,-66
-256,-389,15985,256,575,-71
-256,-381,15733,511,575,-74
-256,-381,15722,511,569,-77
-256,-380,15979,256,570,-78
-256,-387,15992,256,570,-77
-256,-385,15995,256,571,-76
-256,-378,15739,511,568,-77
-256,-379,15737,511,574,-77
-256,-377,15737,511,574,-76
-256,-370,15727,511,575,-75
-256,-379,15721,511,576,-75
-256,-383,15718,511,576,-74
-256,-390,15973,256,574,-75
-256,-399,15990,256,570,-77
-256,-393,15735,511,570,-78
-256,-388,15738,511,570,-72
-256,-391,15717,511,566,-71
-256,-398,15718,511,571,-71
-256,-382,15714,511,570,-76
-256,-385,15722,511,571,-77
-256,-389,15719,511,574,-76
-256,-391,15729,511,579,-76
-256,-381,15733,511,578,-78
-256,-395,15721,511,576,-73
-256,-386,15730,511,573,-72
-256,-380,15732,511,569,-79
-256,-374,15726,511,570,-76
-256,-379,15720,511,571,-72
-256,-386,15716,511,573,-68
-256,-392,15707,511,575,-70
-256,-396,15718,511,581,-69
-256,-397,15725,511,585,-72
-256,-398,15720,511,581,-76
-256,-400,15711,511,580,-79
-256,-384,15714,511,577,-75
-256,-391,15703,511,573,-73
-256,-409,15704,511,577,-74
-256,-407,15705,511,580,-77
-256,-401,15713,511,582,-78
-256,-398,15968,256,581,-77
-256,-396,15710,511,579,-74
-256,-392,15711,511,574,-67
-256,-385,15712,511,572,-69
-256,-388,15708,511,575,-71
-256,-407,15704,511,577,-71
-256,-405,15706,511,577,-67
-256,-405,15707,511,578,-66
-256,-409,15713,511,580,-67
-256,-416,15707,511,581,-74
-256,-415,15703,511,580,-75
-256,-405,15694,511,584,-73
-256,-412,15702,511,585,-74
-256,-402,15704,511,584,-73
-256,-389,15715,511,584,-75
-256,-380,15713,511,580,-76
-256,-386,15976,256,581,-71
-256,-372,15981,256,578,-73
-256,-372,15982,256,578,-73
-256,-361,15730,511,577,-72
-256,-385,15730,511,581,-67
-256,-397,15731,511,578,-74
-256,-397,15729,511,577,-82
-256,-395,15978,256,581,-83
-256,-388,15973,256,580,-82
-256,-387,15967,256,580,-82
-256,-376,15967,256,582,-81
-256,-374,15958,256,583,-78
-256,-381,15958,256,584,-79
-256,-388,15707,511,581,-74
-256,-393,15713,511,581,-68
-256,-396,15724,511,578,-68
-256,-389,15716,511,578,-72
-256,-378,15715,511,580,-72
-256,-388,15713,511,573,-74
-256,-400,15704,511,571,-75
-256,-403,15700,511,571,-76
-256,-405,15701,511,571,-76
-256,-410,15701,511,578,-73
-256,-412,15703,511,583,-74
-256,-405,15711,511,581,-76
-256,-391,15709,511,580,-76
-256,-384,15716,511,585,-76
-256,-397,15729,511,582,-80
-256,-400,15715,511,581,-81
-256,-393,15701,511,581,-74
-256,-389,15692,511,581,-76
-256,-391,15688,511,584,-73
-256,-385,15699,511,589,-74
-256,-389,15708,511,592,-73
-256,-397,15721,511,589,-73
-256,-404,15723,511,585,-70
-256,-407,15732,511,584,-75
-256,-400,15721,511,589,-76
-256,-392,15720,511,587,-75
-256,-395,15722,511,586,-78
-256,-390,15719,511,585,-74
-256,-395,15712,511,584,-70
-256,-391,15714,511,579,-70
-256,-402,15709,511,582,-69
-256,-412,15706,511,581,-72
-256,-413,15700,511,578,-74
-256,-405,15717,511,577,-78
-256,-399,15710,511,580,-73
-256,-399,15961,256,578,-71
-256,-396,15958,256,573,-74
-256,-383,15705,511,573,-74
-256,-386,15710,511,572,-78
-256,-396,15700,511,571,-72
-256,-392,15949,256,574,-69
-256,-405,15688,511,575,-73
-256,-409,15686,511,579,-71
-256,-413,15683,511,581,-72
-256,-415,15938,256,579,-73
-256,-404,15683,511,582,-73
-256,-397,15703,511,581,-72
-256,-394,15703,511,580,-69
-256,-391,15960,256,580,-64
-256,-395,15717,511,581,-71
-256,-396,15706,511,582,-74
-256,-395,15708,511,578,-78
-256,-407,15709,511,582,-72
-256,-403,15700,511,580,-66
-256,-407,15702,511,579,-71
-256,-404,15700,511,580,-69
-256,-390,15707,511,580,-65
-256,-386,15708,511,576,-64
-256,-374,15715,511,570,-68
-256,-380,15712,511,567,-71
-256,-381,15715,511,569,-69
-256,-383,15718,511,576,-74
-256,-392,15713,511,576,-73
-256,-396,15709,511,577,-70
-256,-398,15704,511,581,-73
-256,-403,15715,511,575,-71
-256,-402,15720,511,571,-70
