Ax,Ay,Az,Gx,Gy,Gz
-256,-332,15712,511,589,-78
-256,-484,15692,511,573,-73
-256,-420,15976,256,569,-97
-256,-388,15944,256,557,-82
-256,-452,15736,511,582,-77
-256,-408,15956,256,585,-85
-256,-468,15712,511,567,-82
-256,-360,15700,511,571,-90
-256,-384,15776,511,577,-73
-256,-360,15704,511,571,-65
-256,-336,15976,256,562,-63
-256,-416,15748,511,572,-73
-256,-384,15724,511,574,-80
-256,-412,16008,256,588,-73
-256,-380,15712,511,577,-88
-256,-364,15976,256,556,-81
-256,-348,15704,511,586,-93
-256,-364,15968,256,573,-80
-256,-336,15760,511,572,-65
-256,-440,15932,256,574,-89
-256,-448,15740,511,581,-93
-256,-388,15996,256,584,-60
-256,-416,15664,511,577,-77
-256,-456,15760,511,567,-85
-256,-412,15752,511,589,-76
-256,-412,16064,256,571,-79
-256,-408,15696,511,565,-83
-256,-356,15704,511,584,-80
-256,-428,15728,511,592,-81
-256,-416,15740,511,571,-78
-256,-348,15736,511,562,-81
-256,-392,15708,511,559,-87
-256,-416,16016,256,571,-48
-256,-400,16028,256,576,-76
-256,-352,15792,256,578,-88
-256,-352,16004,256,584,-76
-256,-488,15724,511,577,-64
-256,-336,15652,511,563,-61
-256,-404,15740,511,563,-64
-256,-376,15932,256,588,-85
-256,-368,15760,511,591,-95
-256,-512,15720,511,567,-81
-256,-456,15744,511,586,-94
-256,-336,15712,511,592,-100
-256,-396,15968,256,588,-95
-256,-396,15728,511,576,-74
-256,-404,15764,511,589,-89
-256,-392,16000,256,565,-77
-256,-424,15760,511,555,-77
-256,-484,16004,256,575,-68
-256,-404,15680,511,582,-62
-256,-368,15708,511,603,-82
-256,-348,15736,511,595,-72
-256,-420,15724,511,580,-79
-256,-360,15732,511,594,-81
-256,-412,15716,256,571,-76
-256,-424,15720,511,563,-80
-256,-424,15764,511,577,-85
-256,-436,15712,511,570,-75
-256,-380,15948,256,556,-64
-256,-360,15688,511,568,-57
-256,-348,15676,511,570,-74
-256,-344,15688,511,572,-65
-256,-424,15756,511,562,-90
-256,-396,15752,511,574,-70
-256,-380,15992,256,583,-65
-256,-360,15676,256,583,-104
-256,-344,15976,511,581,-82
-256,-356,15968,256,583,-100
-256,-420,15952,256,587,-77
-256,-356,15976,256,573,-76
-256,-372,15940,256,575,-74
-256,-304,15968,256,563,-64
-256,-396,15736,511,578,-67
-256,-412,15692,511,573,-76
-256,-424,15784,511,576,-64
-256,-356,15708,511,570,-74
-256,-372,15920,256,557,-81
-256,-392,15692,511,576,-91
-256,-344,15976,256,566,-79
-256,-372,15696,511,567,-56
-256,-404,15668,256,577,-80
-256,-408,15736,511,570,-100
-256,-392,15728,511,573,-78
-256,-412,15752,511,566,-104
-256,-336,15748,511,556,-104
-256,-388,15916,256,569,-96
-256,-388,15744,511,576,-88
-256,-452,15696,511,575,-76
-256,-384,15988,256,574,-103
-256,-408,15720,511,579,-93
-256,-364,15664,511,587,-73
-256,-404,15720,511,593,-85
-256,-432,15964,256,582,-83
-256,-436,15764,511,579,-97
-256,-428,15708,511,572,-74
-256,-352,15732,511,581,-52
-256,-416,15736,511,589,-64
-256,-428,15764,511,571,-84
-256,-376,15740,511,575,-94
-256,-372,16024,256,580,-72
-256,-380,16012,256,572,-79
-256,-384,15688,511,580,-100
-256,-408,15932,256,588,-76
-256,-364,15972,256,577,-84
-256,-396,15920,256,569,-82
-256,-404,15980,256,579,-75
-256,-420,15692,511,586,-91
-256,-420,16032,256,598,-88
-256,-380,15740,256,565,-103
-256,-368,15724,511,574,-100
-256,-368,15764,511,579,-75
